ticker,name,listed_date,sic_code,market_cap,weighted_shares
ADPT,Adaptive Biotechnologies Corporation Common Stock,2019-06-27,2836,921637128.96,142227952.0
ADRA,Adara Acquisition Corp.,2021-03-24,6770,141881250.0,14375000.0
ADRT,Ault Disruptive Technologies Corporation,2022-02-07,6770,143462500.0,14375000.0
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,2021-12-23,,302608967.6,48807898.0
ADSK,Autodesk Inc,1985-07-01,7372,37240455937.0,217272205.0
ADT,ADT Inc.,2018-01-19,7381,5836686322.88,906317752.0
ADTH,"AdTheorent Holding Company, Inc. Common Stock",2021-12-23,7370,319825097.62,85743994.0
ADTN,Adtran Inc,1994-08-09,3661,885637837.0500001,49120235.0
ADTX,"Aditxt, Inc. Common Stock",2020-06-30,2834,10877323.8016,44725838.0
ADUS,Addus HomeCare Corp.,2009-10-27,8082,1237819844.1599998,16071408.0
ADV,Advantage Solutions Inc. Class A Common Stock,2020-10-29,7389,1229058481.3799999,318408933.0
ADVM,"Adverum Biotechnologies, Inc. Common Stock",2014-07-31,2836,91935440.8492,98770349.0
AE,Adams Resources & Energy Inc.,1984-09-07,5172,156369602.79999998,4367866.0
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,2021-03-08,6770,295200000.0,30000000.0
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,2021-12-13,6770,285487500.0,28750000.0
AEE,Ameren Corporation,1998-01-02,4931,21363078841.38,258226506.0
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,2021-11-05,6770,133969250.00000001,13225000.0
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),2007-12-17,,5494799.3100000005,6038241.0
AEHR,Aehr Test Systems,1997-08-15,3825,209728822.33,26922827.0
AEI,Alset EHome International Inc. Common Stock,2020-11-13,6500,36118258.2518,113187898.0
AEIS,Advanced Energy Industries Inc,1995-11-17,3679,2778262826.43,37559319.0
AEL,American Equity Investment Life Holding Company,2003-12-04,6311,3482416337.4,93062970.0
AEM,Agnico Eagle Mines Ltd.,2000-02-10,,21887566864.8,455706160.0
AEMD,AETHLON MEDICAL INC,1999-03-04,3841,16024560.24,15408231.0
AEO,American Eagle Outfitters,1994-04-29,5651,1960828439.3749998,169402025.0
AEP,"American Electric Power Company, Inc.",1949-09-01,4911,45993016402.56,513544176.0
AER,Aercap Holdings N.V.,2006-11-21,,9724051142.480001,245618872.0
AERC,"AeroClean Technologies, Inc. Common Stock",2021-11-24,3564,197063818.9636,13877636.0
AERI,"Aerie Pharmaceuticals, Inc.",2013-10-25,2836,289793002.52,48622987.0
AES,AES Corporation,1991-06-27,4991,12482296765.050001,667859645.0
AESE,"Allied Esports Entertainment, Inc. Common Stock",2017-10-25,7900,55150927.179299995,39116907.0
AEVA,"Aeva Technologies, Inc.",2021-03-15,3714,595933302.25,216703019.0
AEY,"ADDvantage Technologies Group, Inc.",1994-04-04,5000,16922738.9457,13219857.0
AEYE,"AudioEye, Inc. Common Stock",2013-04-15,7372,53585146.415199995,11490082.0
AEZS,"Aeterna Zentaris, Inc.",2000-05-10,,21244476.224999998,121397007.0
